Instance,Miliseconds,Opt, optCalc,Capacity
0,11,3408,3408,997
1,14,3322,3322,982
2,25,3818,3818,998
3,23,3908,3908,1001
4,11,4195,4195,1037
5,11,4947,4947,1526
6,11,5590,5590,1828
7,10,6163,6163,1853
8,12,6876,6876,2035
9,14,7568,7568,2520
10,22,8168,8168,2558
11,12,8334,8334,2996
12,12,9747,9747,3538
13,12,10047,10047,3732
14,13,10009,10009,4554
15,16,10647,10647,4125
16,11,11426,11426,4497
17,11,11278,11278,4400
18,12,11569,11569,4595
19,11,12820,12820,4923
20,13,12498,12498,5788
21,11,13680,13680,5569
22,11,13572,13572,5602
23,12,14741,14741,6564
24,18,14942,14942,5782
25,14,15470,15470,6354
26,27,15944,15944,7221
27,10,15770,15770,5668
28,10,16295,16295,6353
29,11,17339,17339,7471
30,11,16775,16775,7639
31,13,17894,17894,7670
32,24,18752,18752,9131
33,15,18668,18668,8406
34,14,19056,19056,8440
35,10,17564,17564,7014
36,20,19553,19553,8944
37,11,19093,19093,8930
38,13,20669,20669,10494
39,13,21426,21426,10634
40,17,21102,21102,9958
41,12,20824,20824,10235
42,16,22728,22728,11493
43,21,21907,21907,10901
44,25,22331,22331,10090
45,12,24801,24801,12468
46,11,23301,23301,11031
47,13,24169,24169,12703
48,12,21782,21782,9758
49,11,24595,24595,12473
