Instance,Miliseconds,Opt, optCalc,Capacity
0,11,2586,2586,997
1,11,2581,2581,982
2,10,3373,3373,998
3,10,3290,3290,1001
4,8,3237,3237,1037
5,11,3626,3626,1526
6,10,4227,4227,1828
7,11,5150,5150,1853
8,11,5735,5735,2035
9,13,5416,5416,2520
10,11,6358,6358,2558
11,12,6396,6396,2996
12,12,7396,7396,3538
13,19,8032,8032,3732
14,12,8054,8054,4554
15,11,8740,8740,4125
16,13,9494,9494,4497
17,11,9100,9100,4400
18,10,8695,8695,4595
19,12,10015,10015,4923
20,10,10588,10588,5788
21,12,10669,10669,5569
22,10,10900,10900,5602
23,11,11564,11564,6564
24,10,11880,11880,5782
25,10,12146,12146,6354
26,11,12421,12421,7221
27,9,12068,12068,5668
28,13,12853,12853,6353
29,10,13171,13171,7471
30,10,12639,12639,7639
31,10,14158,14158,7670
32,11,15031,15031,9131
33,10,14206,14206,8406
34,10,15040,15040,8440
35,11,14007,14007,7014
36,11,15744,15744,8944
37,9,15530,15530,8930
38,16,17094,17094,10494
39,10,17133,17133,10634
40,10,17158,17158,9958
41,10,17229,17229,10235
42,10,18293,18293,11493
43,15,18300,18300,10901
44,11,17589,17589,10090
45,11,19565,19565,12468
46,9,18325,18325,11031
47,10,19701,19701,12703
48,9,17854,17854,9758
49,12,20273,20273,12473
