Instance,Miliseconds,Opt, optCalc,Capacity
0,6,1989,1989,970
1,11,2806,2806,1900
2,19,1200,1200,900
3,22,969,969,737
4,8,1327,1327,836
5,10,2190,2190,1842
6,8,1958,1958,1648
7,16,2760,2760,2174
8,9,4030,4030,2755
9,27,4056,4056,3296
10,16,3497,3497,2925
11,7,3766,3766,3064
12,13,6424,6424,5552
13,13,5698,5698,5010
14,12,6235,6235,5376
15,10,6440,6440,5323
16,13,7788,7788,6631
17,16,10114,10114,8752
18,17,8556,8556,7476
19,10,7846,7846,5107
20,25,9200,9200,6443
21,23,12349,12349,11110
22,10,9237,9237,7369
23,4,4898,4898,1739
24,8,9318,9318,6467
25,21,13098,13098,11730
26,16,11336,11336,9329
27,12,14729,14729,11689
28,2,3875,3875,1383
29,6,10230,10230,7018
30,8,8969,8969,6355
31,5,6862,6862,4998
32,11,14260,14260,11482
33,7,10662,10662,7511
34,6,8685,8685,6002
35,6,8715,8715,5901
36,16,13874,13874,10734
37,11,14689,14689,11638
38,9,13165,13165,10811
39,7,10912,10912,7396
40,9,15646,15646,11904
41,9,15673,15673,12471
42,30,16039,16039,12963
43,10,8668,8668,6101
44,13,12242,12242,8354
45,25,20240,20240,17394
46,11,15373,15373,12215
47,6,10837,10837,7822
48,6,11947,11947,7981
49,11,16520,16520,13742
