Instance,Miliseconds,Opt, optCalc,Capacity
0,188,8373,8373,995
1,66,5847,5847,997
2,20,5962,5962,970
3,13,4888,4888,976
4,39,4889,4889,1361
5,43,8181,8181,1370
6,25,6033,6033,1765
7,7,6865,6865,2030
8,13,7082,7082,2152
9,7,7605,7605,2745
10,14,9533,9533,2397
11,7,7654,7654,3676
12,9,9577,9577,3194
13,11,11287,11287,3665
14,45,11828,11828,4223
15,7,10342,10342,4316
16,8,11265,11265,4179
17,15,11951,11951,4589
18,8,12383,12383,4389
19,7,11321,11321,5782
20,63,15598,15598,5030
21,15,12839,12839,5241
22,13,15362,15362,5691
23,21,13993,13993,5613
24,9,12492,12492,6312
25,8,15324,15324,5939
26,7,15342,15342,5883
27,5,12972,12972,6619
28,7,14950,14950,5990
29,22,16438,16438,8045
30,20,15279,15279,8349
31,23,12751,12751,8630
32,15,17776,17776,7341
33,28,17087,17087,7894
34,7,16679,16679,8186
35,5,13517,13517,9462
36,7,17687,17687,9829
37,8,17772,17772,8297
38,7,18922,18922,8990
39,7,18801,18801,9191
40,7,17307,17307,9656
41,7,17820,17820,10962
42,7,20026,20026,11194
43,7,18934,18934,12882
44,7,17907,17907,11181
45,8,19702,19702,10940
46,8,19800,19800,12215
47,7,20391,20391,10204
48,6,17610,17610,13322
49,7,21065,21065,9771
