Instance,Miliseconds,Opt, optCalc,Capacity
0,6,970,970,970
1,5,940,940,900
2,8,1360,1360,1150
3,8,1660,1660,1390
4,14,1485,1485,1303
5,13,1946,1946,1768
6,13,1875,1875,2111
7,11,2971,2971,2991
8,14,3382,3382,3194
9,9,3228,3228,3188
10,20,3990,3990,3856
11,27,4624,4624,4247
12,11,5434,5434,4866
13,13,6714,6714,5981
14,12,7802,7802,7278
15,11,6105,6105,6833
16,11,7047,7047,7010
17,12,8520,8520,8150
18,5,4364,4364,4525
19,13,10542,10542,10056
20,6,6039,6039,3964
21,7,6378,6378,6056
22,9,7794,7794,8328
23,0,1131,1131,614
24,5,5004,5004,5565
25,7,7598,7598,7337
26,10,11790,11790,10531
27,10,9866,9866,9976
28,3,2897,2897,3051
29,4,5821,5821,4219
30,2,3922,3922,2909
31,5,6460,6460,5041
32,11,11634,11634,10761
33,4,5856,5856,6773
34,2,3276,3276,3692
35,8,8000,8000,7129
36,6,9768,9768,8463
37,12,11596,11596,11167
38,7,10413,10413,9715
39,7,14336,14336,12229
40,7,12684,12684,10811
41,10,16770,16770,13835
42,10,8715,8715,9994
43,8,13746,13746,14463
44,11,17280,17280,16232
45,14,22470,22470,20508
46,9,16034,16034,15242
47,8,16658,16658,15229
48,10,19771,19771,19665
49,4,6787,6787,8484
