Instance,Miliseconds,Opt, optCalc,Capacity
0,7,995,995,100099
1,8,997,997,100099
2,8,970,970,148581
3,9,976,976,198108
4,8,1933,1933,247639
5,13,1892,1892,297181
6,12,2882,2882,346695
7,8,2902,2902,396249
8,8,3826,3826,445775
9,43,3774,3774,495248
10,20,4406,4406,544853
11,13,4800,4800,594329
12,7,5376,5376,643891
13,8,5711,5711,693468
14,9,6784,6784,742888
15,8,6430,6430,792458
16,6,6942,6942,842000
17,6,7440,7440,891488
18,7,8246,8246,941079
19,9,8651,8651,990576
20,26,8706,8706,1040017
21,8,8367,8367,1089635
22,26,9760,9760,1139172
23,7,8928,8928,1188754
24,7,10407,10407,1238270
25,8,10138,10138,1287832
26,7,10162,10162,1337345
27,7,11236,11236,1386803
28,6,10591,10591,1436326
29,8,12555,12555,1485862
30,7,13735,13735,1535340
31,8,12886,12886,1585033
32,7,11670,11670,1634479
33,7,12227,12227,1683983
34,11,13988,13988,1733542
35,7,14188,14188,1782972
36,7,15692,15692,1832403
37,10,13648,13648,1882048
38,7,14675,14675,1931823
39,7,14646,14646,1981109
40,6,15013,15013,2030750
41,19,16272,16272,2080232
42,8,17264,17264,2129797
43,11,17813,17813,2179512
44,8,16662,16662,2228968
45,14,15666,15666,2278378
46,8,17736,17736,2327968
47,25,15605,15605,2377416
48,19,19247,19247,2426792
49,10,15291,15291,2476557
