Instance,Miliseconds,Opt, optCalc,Capacity
0,9,1428,1428,970
1,61,3990,3990,900
2,17,1800,1800,1150
3,8,1600,1600,1390
4,5,1288,1288,1303
5,17,2358,2358,1768
6,7,1818,1818,2111
7,9,2622,2622,2991
8,7,2158,2158,3194
9,20,5258,5258,3188
10,10,4407,4407,3856
11,13,4794,4794,4247
12,13,6992,6992,4866
13,23,6468,6468,5981
14,16,7289,7289,7278
15,20,5940,5940,6833
16,15,12090,12090,7010
17,27,10624,10624,8150
18,22,22722,22722,4525
19,31,6888,6888,10056
20,12,27335,27335,3964
21,23,20414,20414,6056
22,19,17780,17780,8328
23,15,9918,9918,614
24,13,26332,26332,5565
25,24,8205,8205,7337
26,13,22401,22401,10531
27,4,6362,6362,9976
28,10,8620,8620,3051
29,6,16006,16006,4219
30,10,12575,12575,2909
31,4,6745,6745,5041
32,18,19750,19750,10761
33,8,21368,21368,6773
34,19,16464,16464,3692
35,4,12674,12674,7129
36,18,25060,25060,8463
37,9,20372,20372,11167
38,13,15024,15024,9715
39,1,3072,3072,12229
40,14,23419,23419,10811
41,6,22518,22518,13835
42,7,19980,19980,9994
43,10,19538,19538,14463
44,3,5760,5760,16232
45,20,29357,29357,20508
46,4,9394,9394,15242
47,8,16591,16591,15229
48,2,4986,4986,19665
49,14,36579,36579,8484
