Instance,Miliseconds,Opt, optCalc,Capacity
0,7,994,994,994
1,8,997,997,997
2,7,998,998,998
3,6,999,999,999
4,16,1232,1232,1232
5,6,1388,1388,1388
6,22,1812,1812,1812
7,7,1941,1941,1941
8,8,2258,2258,2258
9,17,2835,2835,2835
10,5,2230,2230,2230
11,8,3509,3509,3509
12,6,3198,3198,3198
13,8,3843,3843,3843
14,13,4478,4478,4478
15,7,4208,4208,4208
16,7,4365,4365,4365
17,7,4150,4150,4150
18,8,4715,4715,4715
19,9,5511,5511,5511
20,7,5324,5324,5324
21,8,5962,5962,5962
22,8,5714,5714,5714
23,8,6452,6452,6452
24,11,5763,5763,5763
25,17,6872,6872,6872
26,8,6968,6968,6968
27,6,5662,5662,5662
28,6,5917,5917,5917
29,7,7239,7239,7239
30,7,8117,8117,8117
31,7,8398,8398,8398
32,11,8473,8473,8473
33,6,8096,8096,8096
34,6,8135,8135,8135
35,6,7907,7907,7907
36,7,8907,8907,8907
37,7,8153,8153,8153
38,9,10348,10348,10348
39,6,10102,10102,10102
40,7,10121,10121,10121
41,7,10955,10955,10955
42,7,10120,10120,10120
43,8,12713,12713,12713
44,7,11855,11855,11855
45,7,12146,12146,12146
46,7,11652,11652,11652
47,6,11620,11620,11620
48,6,11782,11782,11782
49,11,11557,11557,11557
