Instance,Miliseconds,Opt, optCalc,Capacity
0,7,1396,1396,995
1,7,1352,1352,997
2,7,1348,1348,970
3,6,1319,1319,976
4,7,1683,1683,1361
5,20,1822,1822,1370
6,23,2350,2350,1765
7,8,2695,2695,2030
8,8,2652,2652,2152
9,13,3267,3267,2745
10,9,3253,3253,2397
11,13,4300,4300,3676
12,12,3797,3797,3194
13,44,4316,4316,3665
14,16,4962,4962,4223
15,7,5070,5070,4316
16,7,5176,5176,4179
17,7,5384,5384,4589
18,6,5201,5201,4389
19,8,6646,6646,5782
20,7,6164,6164,5030
21,7,6103,6103,5241
22,7,6823,6823,5691
23,7,6713,6713,5613
24,9,7075,7075,6312
25,6,6920,6920,5939
26,11,7026,7026,5883
27,15,7694,7694,6619
28,8,7106,7106,5990
29,31,9183,9183,8045
30,13,9222,9222,8349
31,9,9623,9623,8630
32,19,8553,8553,7341
33,7,8955,8955,7894
34,6,9215,9215,8186
35,31,10870,10870,9462
36,8,10979,10979,9829
37,6,9323,9323,8297
38,7,10042,10042,8990
39,7,10555,10555,9191
40,6,10919,10919,9656
41,8,12352,12352,10962
42,7,12367,12367,11194
43,8,14303,14303,12882
44,13,12335,12335,11181
45,7,12048,12048,10940
46,12,13199,13199,12215
47,6,11511,11511,10204
48,7,14614,14614,13322
49,6,11390,11390,9771
