Instance,Miliseconds,Opt, optCalc,Capacity
0,11,1005,1005,997
1,15,993,993,982
2,20,1008,1008,998
3,8,1011,1011,1001
4,10,1047,1047,1037
5,11,1539,1539,1526
6,7,1845,1845,1828
7,6,1866,1866,1853
8,7,2049,2049,2035
9,43,2538,2538,2520
10,10,2577,2577,2558
11,10,3018,3018,2996
12,15,3561,3561,3538
13,8,3753,3753,3732
14,10,4572,4572,4554
15,7,4143,4143,4125
16,8,4521,4521,4497
17,7,4425,4425,4400
18,8,4623,4623,4595
19,7,4947,4947,4923
20,7,5811,5811,5788
21,16,5595,5595,5569
22,6,5634,5634,5602
23,12,6597,6597,6564
24,7,5805,5805,5782
25,7,6387,6387,6354
26,8,7254,7254,7221
27,6,5697,5697,5668
28,5,6393,6393,6353
29,7,7509,7509,7471
30,8,7674,7674,7639
31,7,7704,7704,7670
32,8,9162,9162,9131
33,7,8442,8442,8406
34,10,8475,8475,8440
35,6,7053,7053,7014
36,7,8982,8982,8944
37,6,8970,8970,8930
38,11,10533,10533,10494
39,8,10674,10674,10634
40,7,9993,9993,9958
41,7,10272,10272,10235
42,8,11526,11526,11493
43,7,10938,10938,10901
44,7,10131,10131,10090
45,8,12513,12513,12468
46,6,11070,11070,11031
47,7,12750,12750,12703
48,6,9801,9801,9758
49,7,12513,12513,12473
