Instance,Miliseconds,Opt, optCalc,Capacity
0,31,1894,1894,994
1,53,1678,1678,997
2,88,1798,1798,998
3,53,1897,1897,999
4,87,2415,2415,1232
5,23,2588,2588,1388
6,29,2910,2910,1812
7,37,3241,3241,1941
8,8,3458,3458,2258
9,8,4226,4226,2835
10,7,4230,4230,2230
11,9,4909,4909,3509
12,8,4995,4995,3198
13,10,5621,5621,3843
14,10,5978,5978,4478
15,9,6202,6202,4208
16,9,6365,6365,4365
17,8,6150,6150,4150
18,8,6815,6815,4715
19,9,7611,7611,5511
20,8,7621,7621,5324
21,9,8162,8162,5962
22,9,8114,8114,5714
23,8,8652,8652,6452
24,8,8263,8263,5763
25,9,9368,9368,6872
26,8,9560,9560,6968
27,13,8462,8462,5662
28,8,8917,8917,5917
29,11,10039,10039,7239
30,8,10717,10717,8117
31,9,10898,10898,8398
32,11,11257,11257,8473
33,8,10796,10796,8096
34,7,11135,11135,8135
35,8,10907,10907,7907
36,8,12007,12007,8907
37,7,11253,11253,8153
38,8,13248,13248,10348
39,8,13102,13102,10102
40,7,13121,13121,10121
41,8,14055,14055,10955
42,8,13419,13419,10120
43,10,15713,15713,12713
44,9,15046,15046,11855
45,9,15444,15444,12146
46,8,14952,14952,11652
47,9,15020,15020,11620
48,8,15282,15282,11782
49,10,15057,15057,11557
