Instance,Miliseconds,Opt, optCalc,Capacity
0,7,994,994,1094
1,14,997,997,1097
2,7,998,998,1098
3,6,999,999,1099
4,31,1278,1278,1480
5,10,1477,1477,1685
6,11,1955,1955,2159
7,7,2037,2037,2337
8,9,2403,2403,2703
9,8,2930,2930,3330
10,6,2474,2474,2774
11,8,3703,3703,4103
12,7,3442,3442,3842
13,8,4036,4036,4536
14,11,4720,4720,5220
15,8,4500,4500,5000
16,8,4651,4651,5206
17,7,4504,4504,5041
18,9,5056,5056,5656
19,7,5835,5835,6501
20,7,5664,5664,6364
21,7,6351,6351,7051
22,8,6153,6153,6853
23,8,6841,6841,7641
24,6,6301,6301,7001
25,8,7286,7286,8159
26,7,7485,7485,8305
27,6,6248,6248,7048
28,6,6553,6553,7353
29,7,7824,7824,8724
30,7,8652,8652,9652
31,8,8882,8882,9982
32,23,9105,9105,10107
33,10,8679,8679,9779
34,13,8815,8815,9867
35,5,8589,8589,9689
36,6,9613,9613,10738
37,7,8878,8878,10034
38,7,10979,10979,12279
39,7,10782,10782,12082
40,7,10769,10769,12151
41,7,11634,11634,13034
42,7,10949,10949,12249
43,8,13355,13355,14892
44,7,12583,12583,14083
45,7,12923,12923,14423
46,7,12468,12468,13979
47,7,12495,12495,13996
48,8,12705,12705,14208
49,11,12432,12432,14032
